라바, 51, 158
바타, 83, 189
가자, 53, 147
하라, 81, 154
라마, 58, 160
가바, 80, 185
나사, 52, 151
하다, 49, 171
파가, 64, 149
타라, 68, 168
자가, 45, 169
바파, 85, 156
파하, 43, 187
카타, 41, 141
마타, 61, 193
카타, 41, 161
마마, 89, 191
가가, 55, 194
마바, 51, 141
라아, 92, 194
타자, 66, 159
다자, 99, 165
카나, 97, 169
라가, 76, 164
다마, 83, 151
라카, 79, 149
파카, 86, 182
다자, 65, 171
하바, 96, 194
사타, 58, 159
타사, 52, 144
사사, 47, 159
카카, 62, 169
다가, 99, 154
사파, 83, 159
파아, 70, 160
타하, 44, 196
라아, 52, 191
다하, 90, 190
아차, 62, 145
아사, 68, 157
타바, 66, 163
다라, 60, 169
라하, 41, 173
다사, 90, 195
다차, 45, 193
바아, 72, 164
아사, 79, 144
마파, 97, 162
마다, 77, 186
하타, 61, 184
라타, 54, 144
마타, 77, 173
파바, 75, 161
카차, 84, 192
아나, 59, 143
타카, 55, 157
가사, 75, 163
바마, 92, 144
파바, 94, 189
나바, 84, 167
타바, 64, 160
다마, 94, 183
사파, 42, 188
아바, 67, 155
나라, 88, 178
마하, 89, 160
바마, 94, 170
카파, 83, 149
바가, 92, 193
바나, 77, 196
사자, 95, 189
마나, 62, 185
하아, 90, 143
마타, 50, 141
아바, 46, 170
파라, 93, 165
하라, 69, 149
다아, 95, 197
차자, 55, 181
하다, 50, 172
차마, 77, 172
하다, 92, 168
라자, 86, 146
바타, 40, 142
아다, 84, 199
바하, 92, 183
아하, 46, 165
나나, 94, 155
바사, 54, 178
다바, 71, 189
타바, 94, 167
카타, 68, 144
아라, 93, 193
카마, 43, 157
카바, 99, 149
나하, 59, 183
나차, 96, 199
아라, 95, 170
나하, 44, 184
가라, 69, 142
자하, 66, 144
차아, 75, 183
가마, 79, 187
라카, 87, 187
카타, 67, 194
타바, 55, 165
마다, 73, 141
다카, 65, 145
다하, 63, 192
타마, 90, 188
다나, 97, 193
차차, 85, 145
사차, 71, 198
다마, 51, 158
다라, 87, 184
파차, 67, 168
카아, 75, 165
파라, 40, 144
가마, 47, 155
마타, 46, 180
차하, 79, 186
카나, 73, 198
다타, 89, 140
파하, 77, 168
사다, 88, 199
가바, 57, 147
가바, 62, 178
파마, 59, 144
다차, 41, 162
타나, 48, 189
아차, 51, 189
가사, 88, 188
자하, 61, 144
다아, 71, 156
타타, 70, 145
타차, 90, 152
차자, 76, 153
타차, 77, 183
사라, 47, 178
차카, 99, 152
나라, 85, 195
타나, 91, 192
아라, 67, 165
마차, 70, 185
라가, 90, 169
바마, 83, 184
바바, 88, 169
하아, 96, 153
아하, 85, 196
파차, 68, 198
바카, 58, 177
파다, 66, 186
차파, 73, 149
다하, 74, 156
사자, 57, 194
마사, 72, 145
라라, 47, 156
바바, 80, 147
마카, 68, 170
사가, 76, 167
라가, 44, 156
바차, 96, 191
타가, 68, 198
차라, 77, 146
마타, 91, 181
파바, 98, 170
라다, 55, 165
바바, 43, 196
아자, 95, 187
바사, 48, 172
차파, 47, 199
나사, 69, 167
다카, 64, 159
차차, 77, 186
파사, 43, 156
차나, 59, 154
바라, 80, 149
마차, 76, 150
자아, 63, 147
차하, 65, 151
가사, 47, 179
타바, 67, 183
나마, 65, 147
카아, 71, 188
나가, 59, 177
라마, 95, 152
하하, 50, 174
카사, 93, 147
나다, 90, 191
마타, 42, 182
가가, 48, 186
타바, 42, 192
바나, 78, 158
가파, 56, 166
파나, 53, 196
마마, 96, 154
자자, 76, 181
마다, 57, 150
카라, 78, 195
다아, 58, 165
가파, 95, 199
아바, 89, 186
아라, 64, 172
바카, 62, 160
타라, 59, 190
다사, 90, 194
마하, 83, 199
파사, 98, 169
카다, 62, 194
아마, 45, 180
다하, 92, 184
사가, 54, 173
라자, 61, 199
자사, 65, 170
파타, 49, 159
가사, 73, 172
하다, 61, 153
파카, 98, 181
마타, 88, 160
파자, 55, 174
라라, 63, 176
아자, 86, 163
마자, 86, 185
마차, 75, 144
타사, 77, 169
가나, 55, 190
타다, 92, 190
하가, 94, 180
사하, 63, 172
차나, 53, 172
하차, 84, 178
아마, 58, 164
파파, 57, 178
아하, 71, 180
사아, 52, 198
사다, 90, 145
차나, 88, 148
다마, 93, 178
아카, 85, 146
나아, 79, 144
자아, 92, 170
아사, 73, 184
마마, 46, 145
마차, 58, 144
나사, 90, 151
바바, 94, 151
마바, 74, 198
차마, 54, 168
바마, 58, 197
라차, 87, 193
파바, 71, 185
사카, 57, 192
사자, 83, 145
마아, 58, 199
차타, 90, 156
하아, 60, 192
자라, 67, 170
다바, 55, 150
아파, 74, 142
카마, 42, 161
사타, 53, 144
아마, 97, 166
나라, 95, 166
자카, 52, 183
하차, 79, 166
가차, 82, 191
다아, 87, 182
다가, 52, 199
카나, 54, 197
하차, 41, 171
카아, 86, 177
가사, 65, 157
하사, 95, 175
마다, 94, 165
다바, 51, 162
자타, 63, 188
자나, 77, 143
하자, 43, 151
다파, 94, 179
나파, 80, 168
아다, 45, 156
하카, 96, 195
마다, 75, 189
다차, 45, 168
차타, 90, 190
자가, 74, 198
마카, 84, 163
차사, 80, 149
라라, 40, 178
가사, 57, 153
파다, 65, 186
나다, 74, 163
파바, 40, 175
가타, 56, 161
바가, 69, 175
하타, 55, 151
자타, 62, 150
차아, 51, 183
바사, 60, 177
파타, 73, 183
파마, 72, 148
아나, 49, 178
가사, 90, 141
카마, 43, 182
자라, 64, 172
바카, 61, 174
카라, 44, 186
마카, 72, 152
사바, 50, 157
라바, 91, 196
타다, 57, 190
다하, 96, 143
차타, 71, 166
사마, 79, 190
하라, 45, 175
다다, 78, 182
다차, 82, 172
다사, 87, 175
자나, 40, 193
바나, 95, 166
자차, 75, 143
자하, 52, 161
마바, 55, 180
라나, 77, 185
자라, 78, 191
하다, 87, 179
라파, 43, 160
카다, 76, 193
사마, 43, 186
바사, 95, 164
차바, 66, 171
아파, 94, 141
하다, 95, 147
나차, 69, 140
바카, 90, 170
다다, 66, 195
가바, 67, 148
아마, 47, 185
차사, 85, 149
다가, 99, 195
다파, 74, 158
사자, 51, 181
라나, 54, 149
사자, 64, 144
가타, 71, 199
가가, 83, 175
카다, 47, 185
바하, 45, 146
파사, 49, 162
마바, 83, 188
라파, 92, 187
파카, 44, 178
사아, 88, 174
자하, 71, 193
나바, 42, 173
아다, 77, 198
라나, 40, 166
마파, 71, 158
타바, 66, 175
차자, 92, 141
차파, 82, 197
